name,lat,lng
200879 บริษัท บุญเต็มถัง จำกัด (บางนา กม.2 ขาเข้า),13.6704457258951,100.617561776669
201310 บริษัท. ซีเจ ออย จำกัด (เมืองระยอง),12.6793431643901,101.284918702327
201390 บริษัท วรรณกฤต เชื้อเพลิง จำกัด,13.3565843359277,101.008458706241
201431 บริษัท ซี.ดี.อาร์ โพรสเพอร์ริตี้ จำกัด (ปู่เจ้าสมิงพราย),13.6467798730309,100.577302066576
202023 บริษัท บิ๊กดีล โกลบอล จำกัด (พระราม3),13.6915764178747,100.546817805968
202124 บริษัท เอ็นเอสออล จำกัด (สามโคก),14.0349802290857,100.524860588703
202133 ห้างหุ้นส่วนจำกัด เดอะวันปิโตรเลียม สาขาพัทยาใต,12.918476073207,100.896259266897
202273 บริษัท เค ออยล์ กรุ๊ป จำกัด (สวนใหญ่),13.8299898909442,100.50195948512
202303 บริษัท อินเจคชั่น มอเตอร์ จำกัด (รัตนาธิเบศร์ ขาออก),13.8741992966409,100.419169991533
202335 บริษัท เอ็น เอส ออล จำกัด (ลำโพ),13.9562864377526,100.42573401083
202423 บริษัท บุญเต็มถัง จำกัด (บางนา กม.18),13.610528224799,100.75916381987
202520 บริษัท นิดา ปิโตรเลียม จำกัด (ลาดพร้าว 68),13.7903738140413,100.600902859388
202600 บจก.เซนิทออยล์เซอร์วิส (หนองแคขาเข้า),14.3155336486101,100.837585611409
202610 บริษัท ซิมพลิฟาย กรุ๊ป จำกัด (เลี่ยงเมืองชลบุรี),13.410714059493,101.000885618495
202782 บริษัท อกาลิโก ปิโตรเลียม จำกัด (ศรีย่าน),13.7872451585365,100.51333264974
202826 บริษัท ซิมพลิฟาย กรุ๊ป จำกัด (ชลบุรี ขาออก),13.3902767210951,101.018784254439
202828 บริษัท ดี. ดี. เค. พาวเวอร์ จำกัด (บางพูน),13.9845435967371,100.595543040848
202852 บริษัท บี.เมกกา จำกัด (ลำลูกกา คลอง3),13.9326882495674,100.651717790517
202992 บริษัท ทอง ซุพรีม จำกัด (นวนคร),14.1071171913268,100.617988562489
203352 บจก.อินเทลลิเจนท์ โลจิกส์ (อยุธยาโรจนะ),14.3200294758959,100.632734143952
203486 บริษัท วี. พี. เค. พระราม9 จำกัด,13.7419039713859,100.62870270187
203536 บริษัท แพลตตินั่ม เอนเนอยี่ จำกัด (สาขาวิภาวดี),13.7962240152536,100.560515582837
203567 บริษัท ฟ้าไพบูลย์ จำกัด (พัฒนาการขาเข้า),13.7316094431302,100.649709917393
203576 บริษัท พลอยแสงกรุ๊ป จำกัด (สาขาบึงกุ่ม),13.7802895271066,100.669477956576
203902 บริษัท ฟลูออยล์ เซอร์วิส จำกัด,13.598862607015,100.795505624716
204185 บริษัท ดีดีเค พาวเวอร์ จำกัด สาขาบ้านกลาง,14.0063699505007,100.560148989281
204928 บริษัท เอ็น.พี.ซี. คอร์ปอเรชั่น จำกัด (สาขาศูนย์วัฒนธรรม),13.7662712078901,100.58343116639
205057 บริษัท พิตรพิบูล เทรดดิ้ง(ประเทศไทย) จำกัด สาขาบางนา,13.6592364028075,100.666595225634
205130 บริษัท เบสท์ เอ็นเนอร์ยี่ พลัส จำกัด (สายไหม),13.9206894145574,100.66626602438
205152 บริษัท เบสท์ เอ็นเนอร์ยี่ จำกัด (คลองหลวง),14.0657344255496,100.624118562155
205172 บริษัท เบสท์ เอ็นเนอร์ยี่ พลัส จำกัด (ขาเข้า-ไทรใหญ่),14.0872173734898,100.310663695166
208185 บริษัท จักรินทิพปิโตรเลียม จ,9.159537,99.506682
208603 บริษัท นิดา ปิโตรเลียม จำกัด (เกษตร-สุขาภิบาล 1),13.8211196024228,100.625366418978
208896 ห้างหุ้นส่วนจำกัด ธนัญธรฐิติ,12.574023,99.955366
208938 บริษัท รุ่งอรุณ ออยล์ เซอร์วิส จำกัด สาข,13.5272600291071,100.636433849039
209235 อกาลิโก ปิโตรเลียมสาขาพหลโยธิน,13.7782389646921,100.543781969485
210033 บริษัท เบสท์ เอ็นเนอร์ยี่ พลัส จำกัด,14.2915650620449,100.819634422107
211515 บริษัท ศรีทองเจ็ดยอด จำกัด,18.808572,98.974486
211803 บริษัท เบสท์ เอ็นเนอร์ยี่ พลัส จำกัด (HW36 ระยอง),12.8323070470501,101.126304707347
212507 บริษัท ฟ้าไพบูลย์ จำกัด (สาธุประดิษฐ์),13.6872061909937,100.533413366241
212520 บจก. เอส พี ออยล์ 2015 (บางปลา),13.5970477170422,100.74316826411
213955 บริษัท เบสท์ เอ็นเนอร์ยี่ จำกัด (เนินพระ),12.6869979833645,101.211987306739
